year,acclimatized,year,adventive,year,alien,year,allochtonous,year,anthropochore,year,archaeophyte,year,casual,year,colonizer,year,cryptogenic,year,domestic (iea),year,escaped,year,established,year,exotic,year,expanding,year,extralimital,year,feral,year,foreign,year,immigrant,year,imported,year,introduced,year,invasive,year,invasive alien,year,invasive non-native,year,migrant,year,naturalized,year,neophyte,year,new non-native,year,neonative,year,newcomer,year,non-indigenous,year,non-native,year,non-resident,year,noxious,year,nuisance,year,pest,year,quarantine,year,questionable,year,range-expanding,year,released,year,tramp,year,transferred,year,transformer,year,transient,year,translocated,year,transplanted,year,transported,year,unwanted,year,vagrant,,weed
2022,2,2023,8,2023,411,2023,9,2018,1,2023,1,2022,5,2023,2,2023,8,2023,1,2023,1,2023,25,2023,185,2023,10,2023,1,2023,1,2023,2,2019,3,2023,4,2023,161,2023,1088,2023,155,2023,18,2023,13,2023,12,2023,1,2023,1,2023,2,2022,2,2023,105,2023,255,2023,3,2023,2,2023,4,2023,110,2023,1,2022,3,2023,3,2023,2,2023,2,2023,5,2023,2,2023,8,2023,3,2023,1,2023,1,2023,3,2023,5,2023,164
2018,1,2022,12,2022,742,2022,14,2013,1,2022,1,2021,4,2022,2,2022,6,2020,1,2021,2,2022,54,2022,305,2022,26,2021,4,2022,1,2022,8,2017,1,2022,5,2022,250,2022,1989,2022,310,2022,21,2022,18,2022,30,2022,3,2022,3,2022,1,2020,1,2022,174,2022,444,2022,1,2022,1,2022,12,2022,189,2022,3,2020,1,2022,10,2022,7,2022,3,2022,5,2022,2,2022,24,2022,9,2022,3,2022,1,2022,5,2022,1,2022,322
2016,1,2021,14,2021,778,2021,7,2008,1,2021,2,2020,1,2021,2,2021,17,2017,1,2020,1,2021,61,2021,367,2021,19,2020,2,2021,9,2021,7,2016,5,2021,2,2021,288,2021,2262,2021,317,2021,30,2021,20,2021,28,2021,2,2021,6,2021,2,2015,1,2021,194,2021,475,2021,2,2021,2,2021,14,2021,199,2021,6,2019,2,2021,6,2021,4,2021,3,2021,3,2020,1,2021,23,2021,12,2021,5,2021,4,2021,3,2021,4,2021,344
2011,1,2020,11,2020,762,2020,10,2002,1,2020,1,2019,2,2020,2,2020,20,2016,1,2017,1,2020,41,2020,358,2020,16,2019,3,2020,5,2020,9,2014,3,2020,1,2020,330,2020,2216,2020,277,2020,36,2020,22,2020,18,2020,4,2020,2,,,2014,1,2020,158,2020,457,2020,1,2020,1,2020,16,2020,206,2020,3,2017,2,2020,5,2020,4,2020,4,2020,8,2019,2,2020,16,2020,8,2020,2,2020,2,2020,9,2020,5,2020,356
2005,1,2019,8,2019,595,2019,13,1986,1,2017,1,2017,4,2019,5,2019,18,2015,1,2010,1,2019,44,2019,334,2019,15,2018,1,2019,3,2019,8,2013,4,2019,1,2019,250,2019,2034,2019,212,2019,15,2019,18,2019,25,2019,1,2019,2,,,2010,1,2019,161,2019,431,2019,5,2019,5,2019,15,2019,165,2019,7,2016,4,2019,8,2018,4,2019,2,2019,2,2018,2,2019,26,2019,3,2018,2,2019,4,2019,4,2019,3,2019,290
2002,1,2018,11,2018,545,2018,7,1968,1,2015,1,2016,3,2018,5,2018,12,2013,1,2006,1,2018,41,2018,344,2018,16,2017,3,2018,2,2018,6,2012,5,2018,4,2018,282,2018,1782,2018,147,2018,19,2018,12,2018,14,2017,1,2017,2,,,,,2018,161,2018,397,2018,2,2018,7,2018,17,2018,156,2018,4,2014,2,2018,10,2017,3,2018,4,2017,4,2017,2,2018,18,2018,6,2016,1,2018,3,2018,9,2018,5,2018,293
1998,1,2017,9,2017,521,2017,6,,,2014,1,2015,2,2017,9,2017,12,2010,1,2003,1,2017,41,2017,331,2017,10,2016,2,2017,2,2017,12,2011,6,2017,3,2017,250,2017,1708,2017,150,2017,11,2017,28,2017,18,2016,3,2016,2,,,,,2017,130,2017,329,2017,2,2017,4,2017,19,2017,155,2017,3,2011,1,2017,2,2016,2,2017,3,2016,3,2015,2,2017,19,2017,4,2015,1,2017,4,2017,9,2016,1,2017,234
,,2016,7,2016,416,2016,8,,,2012,1,2014,1,2016,11,2016,6,2008,1,1997,1,2016,40,2016,322,2016,17,2015,3,2015,3,2016,6,2010,3,2016,1,2016,260,2016,1575,2016,128,2016,15,2016,20,2016,17,2015,2,2015,2,,,,,2016,118,2016,322,2015,4,2016,5,2016,15,2016,133,2016,8,2010,2,2016,4,2015,3,2016,1,2015,2,2014,2,2016,17,2016,9,2014,4,2016,5,2016,8,2015,3,2016,242
,,2015,6,2015,417,2015,4,,,2008,1,2013,4,2015,8,2015,9,,,,,2015,45,2015,300,2015,16,2014,4,2014,1,2015,15,2009,5,2015,2,2015,270,2015,1532,2015,112,2015,10,2015,14,2015,14,2014,1,2014,3,,,,,2015,123,2015,332,2014,2,2015,3,2015,11,2015,148,2015,4,2009,1,2015,6,2014,2,2015,1,2014,3,2012,1,2015,17,2015,1,2013,1,2015,2,2015,1,2014,3,2015,224
,,2014,4,2014,346,2014,5,,,2004,1,2012,1,2014,3,2014,4,,,,,2014,30,2014,288,2014,8,2013,4,2013,3,2014,6,2008,1,2014,5,2014,219,2014,1280,2014,85,2014,8,2014,13,2014,11,2013,1,2010,2,,,,,2014,88,2014,268,2013,2,2014,5,2014,8,2014,129,2013,2,2008,4,2014,2,2013,3,2014,2,2013,2,2010,1,2014,20,2014,5,2012,2,2014,4,2014,4,2013,4,2014,190
