term,count
acclimatized,8
adventive,162
alien,8080
allochthonous,130
anthropochore,6
archaeophyte,12
casual,40
colonizer,106
cryptogenic,162
"domestic (invasive, exotic, alien)",8
escaped,9
established,817
exotic,6883
expanding,205
extralimital,56
feral,53
foreign,162
immigrant,64
imported,53
introduced,5433
invasive,26030
invasive alien,2402
invasive non-native,242
migrant,444
naturalized,379
neonative,5
neophyte,34
new non-native,28
newcomer,6
non-indigenous,2349
non-native,5341
non-resident,46
noxious,65
nuisance,256
pest,2704
quarantine,54
questionable,28
range-expanding,65
released,58
restocked,1
tramp,48
transferred,80
transformer,24
transient,496
translocated,98
transplanted,58
transported,94
unwanted,97
vagrant,61
weed,6146
